epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,862.407,0.48891,0.44799,0.83054,0.97674,0.95449,0.97448,0.80971,0.66001,0.46878,0.89632,0.0006734,0.0006734,0.0006734
69,874.664,0.49289,0.41965,0.80986,0.97699,0.96502,0.97477,0.80281,0.71078,0.48278,0.90901,0.0006536,0.0006536,0.0006536
70,886.955,0.50722,0.424,0.82156,0.97456,0.96591,0.97745,0.80261,0.71257,0.47912,0.90567,0.0006338,0.0006338,0.0006338
71,899.303,0.49288,0.42111,0.81742,0.97591,0.96591,0.9783,0.81657,0.67443,0.45995,0.89342,0.000614,0.000614,0.000614
72,911.517,0.46059,0.41551,0.81654,0.97602,0.96591,0.97773,0.81742,0.65889,0.45043,0.88716,0.0005942,0.0005942,0.0005942
73,923.727,0.53547,0.43095,0.82633,0.97619,0.96591,0.97636,0.81653,0.66583,0.45227,0.88989,0.0005744,0.0005744,0.0005744
74,935.912,0.47203,0.44486,0.82832,0.97571,0.96591,0.97265,0.80639,0.67758,0.45526,0.89231,0.0005546,0.0005546,0.0005546
75,948.089,0.45462,0.41359,0.81853,0.97566,0.96591,0.96998,0.81484,0.65748,0.45834,0.88617,0.0005348,0.0005348,0.0005348
76,960.337,0.48766,0.42856,0.82904,0.97598,0.96591,0.96914,0.80656,0.64057,0.45961,0.8796,0.000515,0.000515,0.000515
77,972.582,0.46392,0.44177,0.8155,0.97617,0.96591,0.96948,0.80541,0.64221,0.46004,0.8783,0.0004952,0.0004952,0.0004952
78,984.802,0.47301,0.41306,0.81242,0.97651,0.96591,0.97084,0.81251,0.64223,0.45259,0.87971,0.0004754,0.0004754,0.0004754
79,997.034,0.45404,0.4083,0.8272,0.977,0.96552,0.97134,0.80889,0.64969,0.45445,0.88337,0.0004556,0.0004556,0.0004556
80,1009.37,0.45845,0.42014,0.82057,0.97701,0.96565,0.9718,0.8039,0.67041,0.46136,0.88889,0.0004358,0.0004358,0.0004358
81,1021.54,0.46807,0.41509,0.84074,0.97643,0.96591,0.97005,0.79761,0.66659,0.46047,0.88865,0.000416,0.000416,0.000416
82,1033.96,0.46301,0.41013,0.81891,0.97534,0.96591,0.97018,0.80357,0.66656,0.45649,0.89028,0.0003962,0.0003962,0.0003962
83,1046.12,0.44774,0.39912,0.8227,0.97448,0.96591,0.9707,0.80855,0.6527,0.44908,0.88977,0.0003764,0.0003764,0.0003764
84,1058.25,0.46138,0.4144,0.8297,0.97395,0.96591,0.97012,0.809,0.65118,0.4505,0.89098,0.0003566,0.0003566,0.0003566
85,1070.47,0.46021,0.39253,0.81444,0.97434,0.96591,0.96868,0.80431,0.66061,0.46006,0.89293,0.0003368,0.0003368,0.0003368
86,1082.63,0.43627,0.38201,0.82276,0.97542,0.96591,0.96883,0.80507,0.67457,0.46648,0.89564,0.000317,0.000317,0.000317
87,1094.96,0.43375,0.38822,0.81229,0.97663,0.96591,0.96899,0.80619,0.66734,0.4656,0.89348,0.0002972,0.0002972,0.0002972
88,1107.2,0.46209,0.39921,0.82031,0.97636,0.96591,0.96828,0.81039,0.65021,0.46262,0.88603,0.0002774,0.0002774,0.0002774
89,1119.39,0.43799,0.36989,0.81424,0.9763,0.96591,0.9672,0.81345,0.64354,0.45884,0.88425,0.0002576,0.0002576,0.0002576
90,1131.68,0.43269,0.38558,0.80219,0.97627,0.96591,0.96896,0.81408,0.63477,0.45432,0.88133,0.0002378,0.0002378,0.0002378
91,1143.85,0.42716,0.44207,0.78703,0.97631,0.96591,0.9717,0.81244,0.62428,0.45442,0.87799,0.000218,0.000218,0.000218
92,1155.97,0.40866,0.43641,0.81006,0.97632,0.96591,0.97292,0.82148,0.61959,0.45507,0.87529,0.0001982,0.0001982,0.0001982
93,1168.19,0.42365,0.41819,0.80582,0.97622,0.96591,0.97435,0.82266,0.624,0.45418,0.87374,0.0001784,0.0001784,0.0001784
94,1180.53,0.39576,0.40538,0.79809,0.97579,0.96591,0.97421,0.81646,0.63439,0.45247,0.8751,0.0001586,0.0001586,0.0001586
95,1192.62,0.41614,0.41139,0.8066,0.97558,0.96591,0.97347,0.81593,0.64452,0.45179,0.87761,0.0001388,0.0001388,0.0001388
96,1204.78,0.4219,0.40364,0.78907,0.97535,0.96591,0.9725,0.81462,0.65331,0.45049,0.88027,0.000119,0.000119,0.000119
97,1216.9,0.42474,0.40652,0.8035,0.97518,0.96591,0.97188,0.81453,0.65437,0.44848,0.88109,9.92e-05,9.92e-05,9.92e-05
98,1229.01,0.40535,0.40959,0.80496,0.97514,0.96591,0.97172,0.81529,0.65052,0.44498,0.8815,7.94e-05,7.94e-05,7.94e-05
99,1241.15,0.40138,0.39239,0.794,0.97511,0.96591,0.97067,0.81676,0.64287,0.44019,0.88047,5.96e-05,5.96e-05,5.96e-05
100,1253.55,0.37929,0.39179,0.7868,0.97518,0.96591,0.97061,0.81444,0.63822,0.4375,0.87977,3.98e-05,3.98e-05,3.98e-05
